id,isSmoker,willpower,health,smokedPerDay,stress,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,maxInDegree,maxOutDegree,cigLimit,giveUpStepLimit,$SWITCH_TABLE$simconsts$Operations
n0,true,0.7771457452988876,0.746446853383712,12,0.0,false,0,0,0.4980477120012749,0.4450878813640151,10,10,70,50,null
n1,true,0.14747070869154322,0.7542458758323816,12,0.0,false,0,0,0.24486701391518495,0.219915457707192,10,10,70,50,null
n2,true,0.6101721796345212,0.8003528173131926,12,0.0,false,0,0,0.4121270694795848,0.8972759475418117,10,10,70,50,null
n3,true,0.024725933396080306,0.734053548110419,12,0.0,false,0,1,0.5144337102074323,0.07595471670217813,10,10,70,50,null
n4,true,0.8424270162034311,0.7797815630082817,12,0.0,false,50,2,0.3302299236162659,0.840575071327416,10,10,70,50,null
n6,true,0.9408146422600407,0.8436641981430812,11,0.0,false,0,1,0.8462237315786152,0.7929599181749184,10,10,70,50,null
n9,true,0.4370368450992205,0.3467547303406848,11,0.0,false,1,2,0.6984883332339332,0.36557837127056514,10,10,70,50,null
n10,true,0.4138459018248699,0.6052875139547479,12,0.0,false,0,0,0.6179265606682179,0.4620361204540254,10,10,70,50,null
n12,true,0.8729022467302371,0.46931172469547855,11,0.0,false,2,1,0.08411280914527236,0.5597288968719627,10,10,70,50,null
n13,true,0.8268790010856083,0.770227106546004,15,0.0,false,0,0,0.032908705347140965,0.05722521380729462,10,10,70,50,null
n15,true,0.8771069114232789,0.7453848249619409,11,0.0,false,50,1,0.3777788934913462,0.8952486235541306,10,10,70,50,null
n19,true,0.8683396932517989,0.8660997797776264,11,0.0,false,0,1,0.025086569532347502,0.8345130043941151,10,10,70,50,null
n23,true,0.944373758491836,0.6869305902518238,12,0.0,false,0,1,0.7357288745401944,0.6071228680604048,10,10,70,50,null
n26,true,0.5848171286792349,0.7283967725978981,12,0.0,false,0,0,0.8628953556936059,0.5069426793701881,10,10,70,50,null
n29,true,0.026885509061737034,0.6845589457431854,14,0.0,false,0,0,0.5402437750472555,0.7207749337085737,10,10,70,50,null
n35,false,0.8233075075681275,0.9640997661167149,0,0.0,false,50,2,0.06949560417371914,0.36943808839464876,10,10,70,50,null
n36,true,0.9437820061653747,0.6715736316996999,12,0.0,false,0,1,0.47895824116147556,0.47494003247339733,10,10,70,50,null
n37,true,0.7281821696391837,0.594046994672088,11,0.0,false,1,2,0.22258278951592947,0.9176479534733712,10,10,70,50,null
n39,false,0.8091645619294809,0.8209471485134687,0,0.0,false,0,0,0.6282187731189162,0.8741847330930175,10,10,70,50,null
n45,true,0.501141489055081,0.5217542564532285,12,0.0,false,0,0,0.5718414816600195,0.5195569796655163,10,10,70,50,null
n46,true,0.12358340315619132,0.5737464924266803,10,0.0,false,1,2,0.4548321788886257,0.8787689766806486,10,10,70,50,null
n47,true,0.7614915399012145,0.6467698614541888,12,0.0,false,50,1,0.2790971915137339,0.9147152123803776,10,10,70,50,null
n49,true,0.9530460006919139,0.7182334817296608,11,0.0,false,50,1,0.3207904885745507,0.863332926291588,10,10,70,50,null
n51,true,0.9160522998328238,0.9004304758613412,12,0.0,false,50,1,0.6206798048686,0.9598607358584166,10,10,70,50,null
n52,true,0.6326752972969674,0.9219078914931441,11,0.0,false,0,0,0.8720173555187944,0.708859716393244,10,10,70,50,null
n58,true,0.7330456430546224,0.8370395112446256,11,0.0,false,1,3,0.699463614448839,0.7601824542617892,10,10,70,50,null
n59,true,0.6761789627624395,0.6185075822701207,11,0.0,false,0,1,0.5919149350998865,0.7381795607166244,10,10,70,50,null
n64,true,0.013183680193876834,0.8627838671146082,12,0.0,false,0,0,0.2614899722221703,0.5418666380998519,10,10,70,50,null
n67,true,0.13609660694800063,0.7525473943077142,12,0.0,false,1,2,0.021360505115272044,0.7511076302345607,10,10,70,50,null
n68,false,0.9430948332056386,0.6056263970466423,0,0.0,false,0,0,0.8131209013927272,0.9862876073582021,10,10,70,50,null
n69,false,0.6703167098489922,0.7819191357609885,0,0.0,false,0,0,0.4257922805828066,0.6335859706586742,10,10,70,50,null
n71,false,0.709465474880292,0.6019920881467663,0,0.0,false,50,0,0.6485719021125951,0.8363772244808029,10,10,70,50,null
n72,true,0.8128999557334071,0.4016578214052143,17,0.0,false,50,1,0.4045720711987209,0.8469634725853292,10,10,70,50,null
n74,true,0.6832868849028835,0.7165103715753426,11,0.0,false,0,1,0.8197373010256191,0.6788876601211308,10,10,70,50,null
n78,true,0.12154651870974464,0.478712513319442,12,0.0,false,2,4,0.2258361918839898,0.7734101928362666,10,10,70,50,null
n79,true,0.916005876967279,0.6004096181639694,11,0.0,false,50,1,0.6880535316605382,0.665956948103032,10,10,70,50,null
n81,true,0.7369971178454215,0.7321933938818199,19,0.0,false,0,1,0.5630282546801822,0.6280536178651954,10,10,70,50,null
n82,true,0.8662589945721986,0.8239474237372855,12,0.0,false,0,0,0.6889322255465605,0.4020031721611733,10,10,70,50,null
n83,true,0.7615932393434792,0.8274306941219414,11,0.0,false,50,1,0.4908958719341064,0.868974993855191,10,10,70,50,null
n85,true,0.8133770800336967,0.8494161868308792,11,0.0,false,51,4,0.6238893474039446,0.9154262457538457,10,10,70,50,null
n90,true,0.4193077556209573,0.7502804335674818,11,0.0,false,0,1,0.4070440752599414,0.5711136415716164,10,10,70,50,null
n93,true,0.9779819410732198,0.8819623536357968,11,0.0,false,50,1,0.4505259966868007,0.3229522084554141,10,10,70,50,null
n97,false,0.7458733567850336,0.8468264141597353,0,0.0,false,0,0,0.6719920068839608,0.12407681276434118,10,10,70,50,null
n98,true,0.8792679116471055,0.7892489926504942,13,0.0,false,0,1,0.8036535307374775,0.4898919017265134,10,10,70,50,null
n99,true,0.20456465955637143,0.784486263677895,13,0.0,false,0,0,0.2979643236552203,0.2466145981396456,10,10,70,50,null
n101,true,0.5256252171588489,0.8403535645869011,13,0.0,false,0,0,0.5713281795027747,0.4819985926331248,10,10,70,50,null
